qtr,MassTransit_qtr,Transport_qtr,LandPassTerm_qtr,unemployment_qtr,bus_qtr,rail_qtr,OtherTransMod_qtr,TransEmply_qtr,rgdp,covid
2008 Q4,1187000000,6221000000,517000000,0.06866666666666667,465160480.6666667,381044292.3333333,14747754.333333334,445033.3333333333,16485350000000,0
2009 Q1,1133000000,5125000000,528000000,0.08266666666666667,445231059,353594992,14959679.666666666,441533.3333333333,16298261999999.998,0
2009 Q2,1222000000,6075000000,626000000,0.093,446437453.6666667,374952384.3333333,16045491,442100,16269145000000,0
2009 Q3,1423000000,7627000000,798000000,0.09633333333333334,442312890.3333333,370459407,16559982.666666666,387633.3333333333,16326281000000,0
2009 Q4,1447000000,6634000000,839000000,0.09933333333333334,442480419,365344786,15194042.666666666,441833.3333333333,16502754000000,0
2010 Q1,1390000000,5471000000,688000000,0.09833333333333334,429166493.6666667,351966027,15038282.333333334,438600,16582710000000,0
2010 Q2,1719000000,7007000000,835000000,0.09633333333333334,440493339.6666667,384601836.3333333,16327211.333333334,439733.3333333333,16743162000000,0
2010 Q3,1764000000,7527000000,958000000,0.09466666666666666,432615896.3333333,379204212.3333333,16854733,403433.3333333333,16872266000000,0
2010 Q4,1574000000,6490000000,901000000,0.095,436244258.6666667,380922558.6666667,15544540.666666666,462933.3333333333,16960864000000.002,0
2011 Q1,1399000000,5239000000,739000000,0.09033333333333333,430746004.3333333,367606540.6666667,15398933,453400,16920632000000,0
2011 Q2,1460000000,6157000000,894000000,0.09066666666666666,443012559,392707249,17003730,457400,17035114000000.002,0
2011 Q3,1522000000,6285000000,847000000,0.09,437998205.3333333,384301010,17420078,411533.3333333333,17031313000000,0
2011 Q4,1466000000,5661000000,743000000,0.08633333333333333,448141892.3333333,396627020,16025602,465266.6666666667,17222583000000,0
2012 Q1,1474000000,4961000000,688000000,0.08266666666666667,448234978.6666667,390033193,16028590.333333334,464266.6666666667,17367010000000,0
2012 Q2,1811000000,6151000000,699000000,0.08199999999999999,441850065.3333333,396628590.3333333,17151086.333333332,449033.3333333333,17444525000000,0
2012 Q3,1898000000,6957000000,776000000,0.08033333333333333,438621843.3333333,398731141.6666667,17550610,408700,17469650000000,0
2012 Q4,1851000000,6727000000,813000000,0.078,448662544.6666667,388030923.3333333,16251681.333333334,467800,17489852000000,0
2013 Q1,1794000000,5531000000,631000000,0.07733333333333334,436436696.6666667,384486612.3333333,15849635,465766.6666666667,17662400000000,0
2013 Q2,1908000000,6636000000,783000000,0.07533333333333334,444628710.6666667,408501580.6666667,17239506.333333332,464866.6666666667,17709671000000,0
2013 Q3,1759000000,7083000000,748000000,0.07233333333333333,441103563,407694025.6666667,17835822.666666668,408933.3333333333,17860450000000,0
2013 Q4,1727000000,6623000000,785000000,0.06933333333333334,445855318,410223143,16199704.333333334,482733.3333333333,18016147000000,0
2014 Q1,1676000000,5755000000,729000000,0.06666666666666667,424658230.6666667,393579956,15500820.666666666,480566.6666666667,17953974000000,0
2014 Q2,1767000000,7050000000,974000000,0.062,442372823,427613186.3333333,17445589.666666668,475866.6666666667,18185911000000,0
2014 Q3,1891000000,7717000000,998000000,0.06066666666666667,440766795.6666667,423412326,18263941.666666668,440033.3333333333,18406941000000,0
2014 Q4,1828000000,7235000000,965000000,0.056999999999999995,444242241,417831410.3333333,16625442.666666666,498266.6666666667,18500031000000,0
2015 Q1,1715000000,6180000000,931000000,0.05533333333333334,417788188,381943086.6666667,15823456.666666666,494566.6666666667,18666621000000,0
2015 Q2,2128000000,7736000000,1186000000,0.05433333333333333,430213124.3333333,416024484.3333333,17967182.333333332,492066.6666666667,18782243000000,0
2015 Q3,2131000000,8221000000,1284000000,0.051000000000000004,426642897.3333333,410677126,18909412,450800,18857418000000,0
2015 Q4,1868000000,7229000000,1186000000,0.050333333333333334,430195635.6666667,417422627.6666667,16945012.666666668,502533.3333333333,18892206000000,0
2016 Q1,1668000000,5974000000,1061000000,0.049,413894114.3333333,394549565.3333333,16419759.666666666,498866.6666666667,19001690000000,0
2016 Q2,1856000000,7012000000,1177000000,0.04933333333333333,413638452.6666667,420495998.6666667,18147530.333333332,499333.3333333333,19062709000000,0
2016 Q3,1850000000,7641000000,1158000000,0.049,406991526,405649622.3333333,18876985.333333332,457300,19197938000000,0
2016 Q4,1692000000,7233000000,1100000000,0.04766666666666667,403674446.3333333,404551693.3333333,16672713.666666666,505233.3333333333,19304352000000,0
2017 Q1,1813000000,6095000000,919000000,0.04566666666666667,391754617.3333333,394277837.3333333,16121043.333333334,505000,19398343000000,0
2017 Q2,1913000000,7600000000,1105000000,0.043666666666666666,394150483.6666667,418499807,18184165,503333.3333333333,19506949000000.004,0
2017 Q3,1971000000,7793000000,901000000,0.043333333333333335,386007201.6666667,399625197.6666667,19216172.333333332,458300,19660766000000,0
2017 Q4,2030000000,7800000000,818000000,0.041666666666666664,393473488.6666667,408211579.3333333,17202465,512800,19882352000000,0
2018 Q1,1871000000,6909000000,685000000,0.04033333333333333,378149796.3333333,385030933.6666667,16269392.666666666,505300,20044077000000,0
2018 Q2,1994000000,8371000000,812000000,0.03933333333333333,390481083.6666667,408542671,18561857.666666668,501900,20150476000000,0
2018 Q3,1979000000,9239000000,846000000,0.03766666666666667,381797835,395024239,19569188.333333332,458833.3333333333,20276154000000,0
2018 Q4,1981000000,8292000000,812000000,0.03833333333333333,393852256.6666667,401902911.3333333,17471200,512700,20304874000000,0
2019 Q1,2167000000,7602000000,619000000,0.03866666666666667,372830746,373771007.3333333,16482867.666666666,508466.6666666667,20431641000000,0
2019 Q2,2660000000,9605000000,667000000,0.036333333333333336,388270748.3333333,411822073,19116565.666666668,507500,20602275000000,0
2019 Q3,2866000000,10616000000,531000000,0.036000000000000004,384971889.6666667,410894127,19770078,450600,20843322000000,0
2019 Q4,2707000000,9775000000,364000000,0.036000000000000004,385433352,418583102.6666667,17216984.333333332,509000,20985448000000,0
2020 Q1,2546000000,8921000000,315000000,0.03833333333333334,335593311.6666667,339133945.6666667,14611776.666666666,501833.3333333333,20709212000000,1
2020 Q2,2827000000,10510000000,287000000,0.13,135350432,56032175,5645082.333333333,310533.3333333333,19077992000000,1
2020 Q3,3137000000,11627000000,303000000,0.088,185129006,110418929,8718453,292166.6666666667,20558879000000,1
2020 Q4,2924000000,10338000000,311000000,0.06766666666666667,176801004.33333334,124628277.33333333,8010156.333333333,376466.6666666667,20791917000000,1
2021 Q1,2813000000,9034000000,275000000,0.06233333333333333,168022733.66666666,119057378,7741457.666666667,368366.6666666667,21082134000000,1
2021 Q2,2954000000,10335000000,287000000,0.059333333333333335,195871538.66666666,161610965.33333334,10359913,381666.6666666667,21440929000000,1
2021 Q3,2999000000,10628000000,268000000,0.050666666666666665,222745761.33333334,194339148.66666666,12212342.333333334,349466.6666666667,21617828000000,1
2021 Q4,2650000000,9257000000,288000000,0.042,235219851.33333334,218086763,10849941,410066.6666666667,21988737000000,1
2022 Q1,2449000000,8340000000,464000000,0.03833333333333334,221244744.33333334,203521161.66666666,10194511.666666666,411900,21932710000000,1
2022 Q2,2909000000,9842000000,512000000,0.036333333333333336,247518722,245760601.66666666,12996406,413800,21967045000000,1
2022 Q3,3022000000,10741000000,528000000,0.035333333333333335,261211264.66666666,251776987.33333334,14500421,381633.3333333333,22125625000000,1
2022 Q4,2423000000,9509000000,493000000,0.03566666666666667,264188664,268141995.66666666,12583921.333333334,436100,22278345000000,1
2023 Q1,2108000000,8375000000,495000000,0.035333333333333335,272530958.6666667,259623339,12569338.666666666,440200,22439607000000,1
2023 Q2,2380000000,10083000000,605000000,0.035333333333333335,286039211,281716574,14706110.333333334,434000,22580499000000,1
2023 Q3,2504000000,11137000000,628000000,0.03666666666666667,292453505,278261603.6666667,15952362,408433.3333333333,22840989000000,0
2023 Q4,2219000000,9769000000,543000000,0.038,303484606.3333333,287269453,14129949.666666666,467600,23033780000000,0
2024 Q1,1734000000,8387000000,530000000,0.03833333333333334,303716746,284134075.6666667,13582463.333333334,473166.6666666667,23082119000000,0
2024 Q2,1923000000,10122000000,621000000,0.04,316778664.6666667,308335405.6666667,15756292.666666666,477400,23286508000000,0
2024 Q3,2082000000,11200000000,667000000,0.041666666666666664,319434993.6666667,297946003.6666667,16774228,437433.3333333333,23478570000000,0
2024 Q4,1852000000,10077000000,638000000,0.04133333333333333,323145680.3333333,314141274,15136746,502400,23586542000000,0
2025 Q1,1597000000,8941000000,571000000,0.041,306779517,294543373,14137222,499566.6666666667,23548210000000,0
2025 Q2,1865000000,10847000000,726000000,0.041666666666666664,320880553.6666667,324874817,16666563.333333334,496733.3333333333,23770976000000,0
2025 Q3,652000000,3840000000,262000000,0.042,299201835,314895651,18355712,421900,NA,0
